,watchers,stars,forks,type,issues,size,open_issues_count,num_languages,language_1,language_1_size,language_2,language_2_size,language_3,language_3_size
92681,0,1,1,User,0,275,0,2,VimL,426630.0,Shell,1833.0,0,0.0
5341,2,3,0,User,0,380,0,2,JavaScript,65882.0,Ruby,23135.0,0,0.0
121427,1,1,1,User,0,13136,0,0,C,0.0,0,0.0,0,0.0
44211,2,1,1,User,0,191,0,0,0,0.0,0,0.0,0,0.0
53034,4,3,1,User,2,18948,2,2,Ruby,112033.0,JavaScript,52538.0,0,0.0
98444,1,4,1,User,0,989,0,3,VimL,87927.0,Ruby,14598.0,Shell,5121.0
128568,1,1,0,User,0,200,0,1,Java,93500.0,0,0.0,0,0.0
120535,1,1,1,User,0,449,0,2,C++,131506.0,Shell,3632.0,0,0.0
88175,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
26490,6,11,6,Organization,5,45,5,1,PHP,21186.0,0,0.0,0,0.0
36085,2,2,1,User,0,92,0,1,PHP,17999.0,0,0.0,0,0.0
108034,1,12,0,User,1,116,1,1,Ruby,13190.0,0,0.0,0,0.0
5330,2,2,0,User,0,6387,0,1,Ruby,2743.0,0,0.0,0,0.0
19990,2,4,1,User,0,99,0,1,Java,9061.0,0,0.0,0,0.0
22529,2,5,0,User,0,102,0,1,Ruby,16055.0,0,0.0,0,0.0
18590,1,2,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
52113,2,4,2,User,0,3105,0,1,Ruby,643642.0,0,0.0,0,0.0
56044,4,53,21,User,3,125,3,1,PHP,9378.0,0,0.0,0,0.0
127814,1,0,1,User,0,1972,0,1,PHP,497716.0,0,0.0,0,0.0
37892,2,1,1,User,0,81,0,0,0,0.0,0,0.0,0,0.0
30664,2,1,1,User,0,625,0,0,JavaScript,0.0,0,0.0,0,0.0
23707,4,3,1,User,0,212,0,1,Python,3500.0,0,0.0,0,0.0
120298,1,3,0,User,26,1123,26,1,PHP,96902.0,0,0.0,0,0.0
17292,2,2,1,User,0,1748,0,2,Java,217663.0,JavaScript,160109.0,0,0.0
9618,2,3,0,User,0,276,0,1,Python,59739.0,0,0.0,0,0.0
86619,1,1,1,User,0,1236,0,0,Ruby,0.0,0,0.0,0,0.0
17917,6,39,3,User,0,1232,0,4,Vim script,82618.0,Shell,15285.0,Ruby,1575.0
92716,1,1,0,User,0,152,0,2,C++,18386.0,Shell,2830.0,0,0.0
83120,2,2,0,User,0,2060,0,2,PHP,5497.0,JavaScript,3980.0,0,0.0
