,stars
115325,1
65353,2
85497,3
63776,3
27992,107
103140,1
69600,1
40945,2
32870,2
98861,1
46434,1
4763,2
62936,1
70351,2
1196,41
90718,1
39911,1
66706,11
15353,7
11460,23
113242,1
112877,18
120648,1
46089,1
107851,2
101909,3
85783,2
59157,214
60651,1
46902,14
3335,4
69079,2
114183,1
133051,1
13153,2
111360,14
92699,1
22257,2
126858,1
52627,2
71107,25
7795,2
2909,3
102754,6
79784,3
66051,1
79653,1
123043,3
131975,184
69677,1
107520,1
127616,0
71658,3
83582,1
75977,2
89000,1
134164,7
97483,1
100631,1
3075,3
83753,1
134368,1
21482,3
136838,1
33612,4
70171,1
92619,3
130225,1
85044,1
83881,10
68793,3
9564,3
110259,1
8002,202
36290,1
104355,39
97605,1
78443,6
45742,1
93597,5
49763,4
125259,1
69060,4
14083,6
132684,3
77706,1
93387,1
69066,1
19478,2
58775,2
104015,1
72665,4
51981,58
90263,1
9234,2
110884,2
117137,2
38986,1
73708,1
29171,1
37002,3
16934,9
103087,0
92355,1
85119,1
5316,23
69194,2
133846,6
6898,2
130232,1
1948,4
67287,1
117847,1
76283,3
82746,1
132546,27
28192,13
38854,2
39043,1
20025,13
69004,6
61926,1
44610,3
97574,2
87252,2
123360,1
8508,11
79276,3
131709,3
122634,14
94277,1
130025,0
113312,1
135285,2
104246,1
32592,2
1706,4
51640,1
136395,1
19604,2
45606,1
13276,2
60736,1
50369,1
120902,39
6205,10
120904,2
7661,2
18746,2
25120,4
101846,39
21498,3
81873,12
57203,1
5993,4
13579,2
17640,2
72347,1
85990,1
122730,1
15155,546
90831,1
3593,589
133244,3
86273,1
53416,5
110067,1
134396,1
2254,480
41861,1
126400,1
134422,2
112071,2
107544,1
47399,1
93179,2
39222,1
123930,1
130015,112
17480,2
12671,2
120290,3
15676,3
42626,1
109698,1
86171,2
7839,28
136396,16
124430,13
87073,3
20526,2
36877,1
40037,4
4191,5
11008,2
108280,1
44925,13
94625,865
106022,1
94210,1
83031,1
3973,5
91784,1
82376,1
91069,1
52634,1
44054,1
75971,1
125447,1
7003,2
116608,1
100297,1
60647,1
25688,3
29363,1
113367,1
57714,1
13815,3
43270,1
3332,3
47257,1
110152,1
44725,3
78971,1
62907,1
25829,4
70675,1
107846,2
80599,1
34242,21
134852,2
43823,3
112349,3
46955,1
26420,3
20689,2
130934,1
21664,1
73998,2
39142,1
89278,2
97898,1
90016,1
127604,1
63938,41
16533,29
64014,1
83077,1
2929,2
62904,1
35042,1
27644,10
6144,2
15808,2
65886,4
6795,2
69124,1
95203,3
40433,1
80276,1
46159,1
121115,9
3797,2
106870,2
62497,8
79688,1
49013,1
37066,1
5410,1363
53645,2
5524,68
27845,73
26975,113
44783,8
50625,1
130894,2
33261,2
120071,4
85774,5
17502,2
107541,1
53089,3
79568,1
98135,0
125804,1
103051,4
84802,1
91124,4
63383,1
114556,1
122274,6
65647,1
7116,3
130064,1
56886,0
30315,23
120582,3
135086,26
116803,1
137063,1
48274,0
38016,6
2075,3
115904,1
121929,1
72077,2
71435,12
61379,1
103915,8
126847,3
21109,1
119422,3
103540,1
50288,2
117555,8
16200,2
105308,1
64697,1
19427,3
121549,1
119695,10
34780,1
65816,1
12213,2
73852,2
41089,1
79692,5
18035,2
61777,1
114622,8
73128,1
91386,1
9029,7
5173,4
58788,0
126388,3
2684,2
111617,1
97873,5
23251,11
23890,2
38176,1
74051,1
51662,1
23148,5
5430,2
5977,6
124351,3
114070,8
75705,4
75904,1
133537,2
73035,5
111692,1
22389,4
43319,1
4970,2
5011,2
129932,8
61850,1
56249,1
15995,1
97870,15
126848,1
56112,5
118870,1
97106,3
116088,4
136882,1
41123,3
23465,2
89807,1
48956,1
28539,2
98005,0
76674,4
29839,1
127682,1
15120,9
63363,1
129448,1
113998,2
111607,6
132100,20
95705,1
61386,2
63819,2
30097,2
1983,5
22310,2
36874,4
12394,1
133637,2
50552,2
45377,1
114108,1
101508,0
93845,2
9043,2
702,8352
83513,1
56422,4
42376,1
58393,3
90831,1
84076,1
60550,29
93825,1
108254,0
111427,0
128694,1
111548,1
30497,2
13631,5
30906,3
5226,5
114508,1
61037,2
35317,1
91677,1
28055,3
130952,1
52339,5
78862,2
45669,36
66964,1
131228,1
76888,1
10927,2
2799,3
120222,2
133006,3
96346,1
31920,1
82490,1
64976,4
59422,1
50961,1
70086,3
87280,1
55882,1
112830,3
123810,1
63977,2
44102,6
66098,1
24323,2
50630,1
90998,1
60928,1
130552,1
70156,1
132399,12
99082,1
59666,2
107855,16
106809,1
66256,6
113857,1
97047,18
115998,4
132232,1
40221,1
68757,1
57179,4
129444,3
119224,2
5942,2
63651,3
32469,17
72921,1
34372,1
83502,1
77962,20
10093,8
45659,3
103490,1
79909,1
26319,2
80704,4
114586,1
3738,2
96221,1
8865,2
2538,10
125466,1
38980,2
24236,5
114400,544
32618,3
49000,7
114689,2
99225,1
51953,3
115970,1
109183,1
57864,6
85774,5
70831,1
130430,6
3268,13
121762,1
117611,3
36968,1
22724,2
65486,2
14449,4
64636,1
49221,1
66343,1
109212,14
114994,2
43594,1
576,10
104978,58
7431,2
73236,1
82542,51
31849,1
90093,0
110457,1
55776,2
123895,13
79488,1
15744,1
48064,1
88478,1
125302,2
7319,3
115627,3
71847,1
22016,2
51973,1
106160,1
122292,2
84249,3
15847,2
62979,0
47833,1
98047,2
7791,2
7923,2
80332,2
57137,13
37377,0
48574,1
128754,1
57375,1
53397,1
28538,7
113747,1
100742,1
96829,1
121522,3
23834,2
86333,1
17725,2
114098,1
70211,2
52081,1
38511,4
94374,1
128383,207
24731,7
44453,3
77631,1
28488,1
123540,1
57893,1
